source;date_iso;intitule;couleur_rgba;couleur_hex;couleur_nom;domaine_8;provenance_correspondance
Chrono_Bitcoin_institutionnalisation_V2;2012-06-01;"Bourse d'échange P2P BTC / Fiat, ""LocalBitcoin"", par J. Kangas";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2012-06-20;Création de Coinbase, plateforme d'échange en BTC;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2012-09-17;Premier machine de minage dédiée ASIC (~66 GH/s), par Avalon (auj. Canaan);255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
Chrono_Bitcoin_institutionnalisation_V2;2012-09-27;"Création de la ""Fondation Bitcoin""";255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Altcoin_institutionnalisation_V0;2012-10-01;"[UE] Premier rapport de la BCE sur les ""Virtual Currency Schemes""";255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Bitcoin_institutionnalisation_V2;2012-10-29;"Lancement d'une API de portefeuille simple, par ""Blockchain.com""";255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2012-11-15;"La plateforme d'hébergement ""WordPress"" accepte les BTC";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2012-12-04;"Proposition du Meta-protocole ""Colored Coin"", par M. Rosenfeld";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2013-01-01;Lancement de service financier sur Bitcoin (dépôt et crédit), par BTCJam;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2013-01-24;Premier services de Conformité (AML/KWC), par Walledo;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Bitcoin_institutionnalisation_V2;2013-03-11;Split de Chain lié non anticipé lié à une optimisation de base de Donnée (Berkley DB vers Level DB);255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2013-07-13;"Premier Meta-protocole ""MasterCoin / Omni"" & Première ""Initiale Coin Offering"", échange d'UCN contre des BTC; par J.R. Willet";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2013-07-29;"Création d'un comité interprofessionnel de standardisation et de conformité, ""Digital Asset Transfer Authority"" (DATA)";255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Bitcoin_institutionnalisation_V2;2013-10-02;"Fermeture de ""SilkRoad"" premier site de marché noir créer autour de Bitcoin";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2013-10-29;Premier distributeur automatique de Bitcoin, par Robocoin [Canada];255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2013-11-01;Lancement de portefeuille multi-signature, par Bitgo, BitPay, Circle, Coinbase, etc.;255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2013-11-01;Lancement de l'ASIC Antminer S1 (~180 GH/s), par Bitmain;255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
Chrono_Bitcoin_institutionnalisation_V2;2013-11-16;Le site NASDAQ lance une API de données de prix de Bitcoin;255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2013-11-21;"Ouverture d'un Master d'économie dédié aux CM; BTC acceptés en paiement des frais d'inscription";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2013-12-01;Portefeuille avec service d'anonymisation (mixing), par Dark Wallet;255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
